,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
A1BG,1.0,9927.5,9.2919533736088525e-05,-4.0318929781265584,11944.0,0.603781215246,0.603781215246
A1CF,1.0,9927.5,0.00034827282152289344,-3.4580804156456413,5999.0,0.303255484784,0.303255484784
A2M,1.0,9927.5,0.002181342301159267,-2.6612761786028605,642.0,0.0324537458295,0.0324537458295
A2ML1,1.0,9927.5,5.898747316746003e-05,-4.2292402072031656,13547.0,0.684814477808,0.684814477808
A3GALT2,1.0,9927.5,3.5260326871102356e-07,-6.4527136660112276,19759.5,0.998862602366,0.998862602366
A4GALT,1.0,9927.5,9.8552836890268485e-05,-4.0063308698314515,11717.0,0.592306136892,0.592306136892
A4GNT,1.0,9927.5,6.9116883822493064e-05,-4.1604158505234263,13026.0,0.6584774037,0.6584774037
AAAS,1.0,9927.5,0.00024643670849740403,-3.6082946004425009,7595.0,0.383934890304,0.383934890304
AACS,1.0,9927.5,0.00021075164065468172,-3.676229035804043,8333.0,0.421241532707,0.421241532707
AADAC,1.0,9927.5,0.00012607075520514659,-3.8993856455921199,10647.0,0.53821656051,0.53821656051
AADACL2,1.0,9927.5,4.9356794699933524e-05,-4.3066530517570554,14054.0,0.710443837832,0.710443837832
AADACL3,1.0,9927.5,9.6836148514240472e-06,-5.0139624921782184,17349.0,0.877009402487,0.877009402487
AADACL4,1.0,9927.5,1.1776819883185053e-05,-4.9289719670734709,17074.0,0.863107875847,0.863107875847
AADAT,1.0,9927.5,0.00011279320246348087,-3.9477170725295814,11167.0,0.564503083611,0.564503083611
AAED1,1.0,9927.5,7.3956472402746473e-06,-5.1310238121229004,17699.0,0.894702254575,0.894702254575
AAGAB,1.0,9927.5,3.4656938745158039e-05,-4.4602098012528213,15023.0,0.759427762612,0.759427762612
AAK1,1.0,9927.5,0.00071843900728499614,-3.1436100958998732,3294.0,0.166515013649,0.166515013649
AAMDC,1.0,9927.5,4.1260732303713567e-05,-4.3844630683493051,14567.0,0.736376503892,0.736376503892
AAMP,1.0,9927.5,0.00039697994963108177,-3.4012314277066085,5452.0,0.275604084521,0.275604084521
AANAT,1.0,9927.5,0.00066147141724110046,-3.1794889173157235,3531.0,0.178495602062,0.178495602062
AAR2,1.0,9927.5,0.00013456062117864532,-3.8710820166871018,10377.0,0.524567788899,0.524567788899
AARD,1.0,9927.5,1.5267461968837362e-05,-4.8162331531558822,16671.0,0.842735820443,0.842735820443
AARS,1.0,9927.5,0.0021980572458136162,-2.6579610010766692,631.0,0.0318976847639,0.0318976847639
AARS2,1.0,9927.5,0.00012177231855938129,-3.9144514248659092,10824.0,0.547164088565,0.547164088565
AARSD1,1.0,9927.5,0.00011852847463826935,-3.9261773045674659,10936.0,0.552825801233,0.552825801233
AASDH,1.0,9927.5,0.00033993614477110964,-3.4686026552460913,6111.0,0.308917197452,0.308917197452
AASDHPPT,1.0,9927.5,0.00088323265307553307,-3.053924883468611,2713.0,0.137144879183,0.137144879183
AASS,1.0,9927.5,8.4987399425353474e-05,-4.0706454597644699,12299.0,0.621726822364,0.621726822364
