,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
A1BG,1.0,9915.5,4.4654040173044175e-05,-4.350139241243971,10785.0,0.545192599333,0.545192599333
A1CF,1.0,9915.5,0.00016121559227985784,-3.7925929568632744,4482.0,0.226569608735,0.226569608735
A2M,1.0,9915.5,0.00023818771011570536,-3.623080650773598,3016.0,0.15246183399,0.15246183399
A2ML1,1.0,9915.5,2.7551775379047123e-05,-4.5598504108782256,12853.0,0.649732079668,0.649732079668
A3GALT2,1.0,9915.5,1.2811816749709259e-07,-6.892389281775249,19735.5,0.997649378223,0.997649378223
A4GALT,1.0,9915.5,2.5413369793828814e-05,-4.5949377440077832,13135.0,0.663987463351,0.663987463351
A4GNT,1.0,9915.5,4.1041283265631636e-05,-4.3867790683039019,11164.0,0.564351430593,0.564351430593
AAAS,1.0,9915.5,7.6278569036823199e-05,-4.1175974627844045,8250.0,0.417045799211,0.417045799211
AACS,1.0,9915.5,6.6935085130366984e-05,-4.1743461799245276,8850.0,0.44737640279,0.44737640279
AADAC,1.0,9915.5,6.0387994998185715e-05,-4.2190493895948542,9372.0,0.473764027904,0.473764027904
AADACL2,1.0,9915.5,1.6722165009537366e-05,-4.7767074953882833,14497.0,0.732837933475,0.732837933475
AADACL3,1.0,9915.5,6.4025909366514967e-06,-5.1936442444869462,16597.0,0.838995046001,0.838995046001
AADACL4,1.0,9915.5,7.2689357322638351e-06,-5.1385291709071135,16375.0,0.827772722677,0.827772722677
AADAT,1.0,9915.5,4.0931663565675374e-05,-4.3879406041768352,11180.0,0.565160246689,0.565160246689
AAED1,1.0,9915.5,2.1285544229061307e-06,-5.6719152412981382,18051.0,0.912496208675,0.912496208675
AAGAB,1.0,9915.5,1.4463406998852443e-05,-4.8397293926213116,14864.0,0.751390152664,0.751390152664
AAK1,1.0,9915.5,0.00030824634181354267,-3.5111020687942567,2420.0,0.122333434435,0.122333434435
AAMDC,1.0,9915.5,1.255869202450414e-05,-4.9010555895892711,15216.0,0.769184106764,0.769184106764
AAMP,1.0,9915.5,0.000152987621302295,-3.8153437078594918,4698.0,0.237488626024,0.237488626024
AANAT,1.0,9915.5,0.00035486014004741293,-3.4499427803922065,2233.0,0.11288039632,0.11288039632
AAR2,1.0,9915.5,5.1312485444860795e-05,-4.2897769487270816,10125.0,0.511828935396,0.511828935396
AARD,1.0,9915.5,2.1094312506875287e-06,-5.6758346243155602,18068.0,0.913355575776,0.913355575776
AARS,1.0,9915.5,0.0002415426523872662,-3.6170061690083442,2970.0,0.150136487716,0.150136487716
AARS2,1.0,9915.5,0.00050098855681939307,-3.3001721938272643,1821.0,0.0920533818623,0.0920533818623
AARSD1,1.0,9915.5,6.1671989747428952e-05,-4.2099120395356113,9270.0,0.468607825296,0.468607825296
AASDH,1.0,9915.5,3.3753533887102571e-05,-4.4716807512085435,11996.0,0.606409867556,0.606409867556
AASDHPPT,1.0,9915.5,0.00030232763229324079,-3.5195221571422497,2454.0,0.124052168638,0.124052168638
AASS,1.0,9915.5,3.2218290253935736e-05,-4.4918975102539527,12186.0,0.61601455869,0.61601455869
AATF,1.0,9915.5,0.00011960248292170653,-3.9222598043944039,5889.0,0.297694874128,0.297694874128
AATK,1.0,9915.5,1.926135621861352e-05,-4.7153131368623917,14061.0,0.710797694874,0.710797694874
ABAT,1.0,9915.5,0.00010290050690567367,-3.987582485822653,6689.0,0.3381356789,0.3381356789
ABCA1,1.0,9915.5,0.00012113968607178984,-3.916713556126457,5819.0,0.29415630371,0.29415630371
ABCA10,1.0,9915.5,9.9747683050632923e-06,-5.0010971833606268,15725.0,0.7949145688,0.7949145688
ABCA12,1.0,9915.5,5.201533734585673e-05,-4.2838685805469447,10067.0,0.50889697705,0.50889697705
ABCA13,1.0,9915.5,1.0620590974640243e-05,-4.9738513165987746,15586.0,0.787887978971,0.787887978971
ABCA2,1.0,9915.5,0.00010862182541114635,-3.9640829030778533,6385.0,0.322768173087,0.322768173087
ABCA3,1.0,9915.5,4.9518265129154392e-05,-4.3052345792147833,10294.0,0.520372055404,0.520372055404
ABCA4,1.0,9915.5,0.00013554162671560892,-3.8679273064385553,5254.0,0.26559498534,0.26559498534
ABCA5,1.0,9915.5,3.8285037980543193e-05,-4.4169709177294489,11452.0,0.578910120311,0.578910120311
ABCA6,1.0,9915.5,4.029060849073166e-05,-4.3947961736100956,11239.0,0.568142756041,0.568142756041
ABCA7,1.0,9915.5,9.9155390750525966e-05,-4.0036836696627667,6861.0,0.346830451926,0.346830451926
ABCA8,1.0,9915.5,9.4112501518188221e-05,-4.0263526828453999,7133.0,0.360580325548,0.360580325548
ABCA9,1.0,9915.5,1.094614307575214e-05,-4.9607388795441851,15519.0,0.784501061571,0.784501061571
ABCB1,1.0,9915.5,0.0001472413476202141,-3.8319702163452813,4872.0,0.246284501062,0.246284501062
ABCB10,1.0,9915.5,0.00011546588789045015,-3.9375463005258031,6091.0,0.307906177333,0.307906177333
ABCB11,1.0,9915.5,2.8143504700581801e-05,-4.5506218209969402,12780.0,0.646041856233,0.646041856233
ABCB4,1.0,9915.5,4.9963731529366558e-05,-4.3013451339068887,10249.0,0.518097260135,0.518097260135
ABCB5,1.0,9915.5,1.9778714117783759e-05,-4.703801946798694,13988.0,0.707107471439,0.707107471439
ABCB6,1.0,9915.5,3.9358288346149927e-05,-4.4049637968765145,11360.0,0.574259427763,0.574259427763
ABCB7,1.0,9915.5,9.1146809813078884e-05,-4.0402585272813258,7323.0,0.370185016682,0.370185016682
ABCB8,1.0,9915.5,8.5884098914615153e-05,-4.0660872365515903,7624.0,0.385400869477,0.385400869477
ABCB9,1.0,9915.5,7.467383818876275e-05,-4.1268315256322303,8336.0,0.421393185724,0.421393185724
ABCC1,1.0,9915.5,0.00014601728278260164,-3.8355957375518677,4904.0,0.247902133252,0.247902133252
ABCC10,1.0,9915.5,3.7174941267726462e-05,-4.429749708942456,11600.0,0.586391669194,0.586391669194
ABCC11,1.0,9915.5,1.2048303662129412e-05,-4.9190740951668444,15307.0,0.773784248307,0.773784248307
ABCC12,1.0,9915.5,1.3533725923679125e-05,-4.8685826228162723,15027.0,0.759629966636,0.759629966636
ABCC2,1.0,9915.5,0.00012316532091991144,-3.9095115572141177,5732.0,0.289758366191,0.289758366191
ABCC3,1.0,9915.5,8.3247711201139347e-05,-4.0796276980784576,7790.0,0.393792336467,0.393792336467
ABCC4,1.0,9915.5,5.7151544743144834e-05,-4.242972026609781,9643.0,0.487463350521,0.487463350521
ABCC5,1.0,9915.5,6.4882595293146828e-05,-4.1878717867415682,9015.0,0.455717318775,0.455717318775
ABCC6,1.0,9915.5,0.00010846930126947858,-3.9646931574442603,6393.0,0.323172581134,0.323172581134
ABCC8,1.0,9915.5,0.00049339647020539719,-3.3068039618098046,1842.0,0.0931149529876,0.0931149529876
ABCC9,1.0,9915.5,0.00011202654376194251,-3.9506790626555039,6242.0,0.315539379234,0.315539379234
ABCD1,1.0,9915.5,5.7818641381959927e-05,-4.2379321175641866,9596.0,0.48508745324,0.48508745324
ABCD2,1.0,9915.5,3.9776018297186337e-05,-4.4003786932605626,11308.0,0.571630775452,0.571630775452
ABCD3,1.0,9915.5,0.00030110666201737705,-3.5212796355686824,2463.0,0.124507127692,0.124507127692
ABCD4,1.0,9915.5,2.284685380643471e-05,-4.6411735972825516,13468.0,0.680820948337,0.680820948337
ABCE1,1.0,9915.5,0.00098589988214425384,-3.0061671853021346,752.0,0.0380143564857,0.0380143564857
ABCF1,1.0,9915.5,0.0007211395242224662,-3.1419807009703256,1185.0,0.0599029420685,0.0599029420685
ABCF2,1.0,9915.5,0.0010400427221166695,-2.9829488207027137,645.0,0.0326053988474,0.0326053988474
ABCF3,1.0,9915.5,0.00011950716253412611,-3.9226060649599535,5892.0,0.297846527146,0.297846527146
ABCG1,1.0,9915.5,6.1861504710678561e-05,-4.2085795204854941,9252.0,0.467697907188,0.467697907188
ABCG2,1.0,9915.5,0.0001398324216145768,-3.8543921211810401,5104.0,0.258012334445,0.258012334445
ABCG4,1.0,9915.5,0.0010247613090200293,-2.9893772802152725,678.0,0.0342735820443,0.0342735820443
ABCG5,1.0,9915.5,5.5783487208937973e-05,-4.2534943400473697,9765.0,0.493630573248,0.493630573248
ABCG8,1.0,9915.5,4.49757230043684e-05,-4.3470218464530337,10751.0,0.54347386513,0.54347386513
ABHD1,1.0,9915.5,1.6805548791139227e-05,-4.7745473009230395,14484.0,0.732180770397,0.732180770397
