,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
A1BG,1.0,9932.0,0.000132585171441567,-3.877505045472851,10977.0,0.554898392478,0.554898392478
A1CF,1.0,9932.0,0.0018294994014618879,-2.7376677282609165,1124.0,0.0568193307047,0.0568193307047
A2M,1.0,9932.0,0.00089231907859674839,-3.0494798213021226,3056.0,0.154483874229,0.154483874229
A2ML1,1.0,9932.0,5.8945793786630975e-05,-4.2295471795498889,13823.0,0.698766555454,0.698766555454
A3GALT2,1.0,9932.0,8.1032794759760953e-07,-6.0913391823466005,19476.5,0.984556667678,0.984556667678
A4GALT,1.0,9932.0,9.5167952801146228e-05,-4.0215092728838568,12237.0,0.618592659994,0.618592659994
A4GNT,1.0,9932.0,0.00037767820060670968,-3.4228780817052655,6494.0,0.328278232737,0.328278232737
AAAS,1.0,9932.0,0.0002378331734524599,-3.6237275692188402,8451.0,0.42720655141,0.42720655141
AACS,1.0,9932.0,0.00016798778062809098,-3.7747223075526808,9963.0,0.503639672429,0.503639672429
AADAC,1.0,9932.0,0.0001458952918342028,-3.835958722934635,10559.0,0.533768071985,0.533768071985
AADACL2,1.0,9932.0,3.3549294189459902e-05,-4.4743166120925206,15416.0,0.779294307957,0.779294307957
AADACL3,1.0,9932.0,9.0335202614740264e-06,-5.0441429770164667,17896.0,0.90466080275,0.90466080275
AADACL4,1.0,9932.0,1.1507479513047243e-05,-4.9390197896148225,17603.0,0.889849358002,0.889849358002
AADAT,1.0,9932.0,6.298713581345991e-05,-4.2007481396845892,13614.0,0.688201395208,0.688201395208
AAED1,1.0,9932.0,5.9593186046766878e-06,-5.224803395150122,18303.0,0.925235062178,0.925235062178
AAGAB,1.0,9932.0,4.9103597568185588e-05,-4.3088866881871084,14364.0,0.726114649682,0.726114649682
AAK1,1.0,9932.0,0.0013137574554147624,-2.8814848063880176,1852.0,0.0936204630472,0.0936204630472
AAMDC,1.0,9932.0,2.3038555666771821e-05,-4.6375447511868853,16276.0,0.822768173087,0.822768173087
AAMP,1.0,9932.0,0.00039982800140075789,-3.3981267939397868,6274.0,0.317157011425,0.317157011425
AANAT,1.0,9932.0,0.0019208193703101695,-2.7165134733298286,1015.0,0.0513092710545,0.0513092710545
AAR2,1.0,9932.0,0.00012868465223495125,-3.8904732467796599,11092.0,0.560711758164,0.560711758164
AARD,1.0,9932.0,9.8380988971409577e-06,-5.0070888160248357,17800.0,0.899807906177,0.899807906177
AARS,1.0,9932.0,0.00056358491115872269,-3.2490406427596752,4859.0,0.245627337984,0.245627337984
AARS2,1.0,9932.0,0.00013392083371043751,-3.8731518556865718,10935.0,0.552775250227,0.552775250227
AARSD1,1.0,9932.0,0.00012772642837730242,-3.8937192318603251,11121.0,0.562177737337,0.562177737337
AASDH,1.0,9932.0,6.1428798032186986e-05,-4.2116279823704188,13690.0,0.692043271661,0.692043271661
AASDHPPT,1.0,9932.0,0.00065794993163977933,-3.1818071538630792,4235.0,0.214083510262,0.214083510262
AASS,1.0,9932.0,8.2033987349709985e-05,-4.086006178588117,12762.0,0.645131938126,0.645131938126
AATF,1.0,9932.0,0.00022836729894960928,-3.6413660847629146,8635.0,0.436507936508,0.436507936508
AATK,1.0,9932.0,5.5515982883894167e-05,-4.255581966805293,13993.0,0.707360226469,0.707360226469
ABAT,1.0,9932.0,0.00022359770091986728,-3.650532666272861,8728.0,0.441209180063,0.441209180063
ABCA1,1.0,9932.0,0.0011000650452459696,-2.9585816348815683,2331.0,0.117834394904,0.117834394904
ABCA10,1.0,9932.0,4.307112180734002e-05,-4.3658138166889238,14751.0,0.74567788899,0.74567788899
ABCA12,1.0,9932.0,0.0001296582334909582,-3.8871998996724582,11072.0,0.559700738045,0.559700738045
