,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
A1BG,1.0,9915.5,4.718709234395233e-05,-4.3261767829427473,10321.0,0.521736932565,0.521736932565
A1CF,1.0,9915.5,0.00013809408897612848,-3.859824910704432,5017.0,0.253614396926,0.253614396926
A2M,1.0,9915.5,0.00037257597483651689,-3.4287851535523175,1734.0,0.0876554443433,0.0876554443433
A2ML1,1.0,9915.5,1.8363762705366725e-05,-4.736038327777921,13989.0,0.707158022445,0.707158022445
A3GALT2,1.0,9915.5,1.5825936424482885e-07,-6.8006305832408689,19593.5,0.990471135376,0.990471135376
A4GALT,1.0,9915.5,3.2746222270166812e-05,-4.4848387946600674,11836.0,0.598321706602,0.598321706602
A4GNT,1.0,9915.5,2.5880531322409683e-05,-4.5870268119282986,12794.0,0.646749570316,0.646749570316
AAAS,1.0,9915.5,7.0319458417886417e-05,-4.1529244827441421,8414.0,0.42533616419,0.42533616419
AACS,1.0,9915.5,8.6937375962236615e-05,-4.0607934722924002,7383.0,0.37321807704,0.37321807704
AADAC,1.0,9915.5,8.5712356161230589e-05,-4.066956566340175,7447.0,0.376453341421,0.376453341421
AADACL2,1.0,9915.5,1.5669456288912238e-05,-4.8049460727606279,14498.0,0.732888484481,0.732888484481
AADACL3,1.0,9915.5,8.4292424490924425e-06,-5.0742114544336658,16280.0,0.822970377111,0.822970377111
AADACL4,1.0,9915.5,9.4932762116688041e-06,-5.0225838829253142,15890.0,0.803255484784,0.803255484784
AADAT,1.0,9915.5,0.00075919833896967003,-3.119644750761343,1222.0,0.0617733292893,0.0617733292893
AAED1,1.0,9915.5,2.2928753231172281e-06,-5.6396195597289847,18116.0,0.915782024062,0.915782024062
AAGAB,1.0,9915.5,7.7077743695583876e-06,-5.1130710069758427,16445.0,0.831311293095,0.831311293095
AAK1,1.0,9915.5,0.00028383641157013413,-3.5469318924245399,2154.0,0.108886866849,0.108886866849
AAMDC,1.0,9915.5,7.485969329537417e-06,-5.1257519565483323,16496.0,0.833889394399,0.833889394399
AAMP,1.0,9915.5,9.592571601292991e-05,-4.0180649504376591,6903.0,0.348953594177,0.348953594177
AANAT,1.0,9915.5,0.00030971487776807155,-3.5090379319458203,1967.0,0.0994338287332,0.0994338287332
AAR2,1.0,9915.5,3.5222467587832781e-05,-4.4531802218429108,11526.0,0.582650894753,0.582650894753
AARD,1.0,9915.5,1.7430703355793355e-06,-5.7586850880835341,18326.0,0.926397735315,0.926397735315
AARS,1.0,9915.5,0.00091083680547928672,-3.0405594285470121,976.0,0.0493377818219,0.0493377818219
AARS2,1.0,9915.5,5.3992042288253676e-05,-4.2676702447135328,9688.0,0.489738145789,0.489738145789
AARSD1,1.0,9915.5,3.7053746878645457e-05,-4.4311678695620209,11330.0,0.572742897584,0.572742897584
AASDH,1.0,9915.5,3.7443859833169522e-05,-4.4266193891581791,11284.0,0.570417551309,0.570417551309
AASDHPPT,1.0,9915.5,0.00023462444455440201,-3.6296267425101552,2675.0,0.135223940956,0.135223940956
AASS,1.0,9915.5,6.2866946188682314e-05,-4.2015776353332139,8986.0,0.454251339602,0.454251339602
AATF,1.0,9915.5,5.1595730241380653e-05,-4.2873862365381399,9917.0,0.501314326155,0.501314326155
AATK,1.0,9915.5,2.2569067502695576e-05,-4.6464863845110695,13269.0,0.67076129815,0.67076129815
ABAT,1.0,9915.5,0.00085713732349345685,-3.0669495934119628,1062.0,0.0536851683348,0.0536851683348
ABCA1,1.0,9915.5,0.00023763113097716645,-3.6240966650125475,2633.0,0.133100798706,0.133100798706
ABCA10,1.0,9915.5,1.8608784847801586e-05,-4.7302819853391176,13939.0,0.704630472146,0.704630472146
ABCA12,1.0,9915.5,5.5275149640863111e-05,-4.2574700730258082,9591.0,0.48483469821,0.48483469821
ABCA13,1.0,9915.5,1.983692874548007e-05,-4.7025255666647183,13724.0,0.693762005864,0.693762005864
ABCA2,1.0,9915.5,0.00011774814295608431,-3.9290459335433128,5841.0,0.295268425842,0.295268425842
ABCA3,1.0,9915.5,8.9643193393169502e-05,-4.0474826808258513,7248.0,0.366393691234,0.366393691234
ABCA4,1.0,9915.5,0.00016340942170765382,-3.7867229069365198,4161.0,0.21034273582,0.21034273582
ABCA5,1.0,9915.5,5.864309187097328e-05,-4.2317831402239596,9328.0,0.471539783642,0.471539783642
ABCA6,1.0,9915.5,7.80206961587649e-05,-4.1077901789080871,7911.0,0.399909008189,0.399909008189
ABCA7,1.0,9915.5,6.2517480829457316e-05,-4.2039985303954648,9014.0,0.455666767769,0.455666767769
ABCA8,1.0,9915.5,0.00020369380706411204,-3.6910221747247647,3174.0,0.160448892933,0.160448892933
ABCA9,1.0,9915.5,1.9399283987624447e-05,-4.7122142992430858,13797.0,0.697452229299,0.697452229299
ABCB1,1.0,9915.5,0.00018714105320779642,-3.7278309306941639,3528.0,0.178343949045,0.178343949045
ABCB10,1.0,9915.5,0.00017798712410752458,-3.749611414159149,3749.0,0.189515721363,0.189515721363
ABCB11,1.0,9915.5,3.8895370059668658e-05,-4.4101020921758023,11132.0,0.562733798403,0.562733798403
ABCB4,1.0,9915.5,8.1971349954454079e-05,-4.0863379126266581,7665.0,0.387473460722,0.387473460722
ABCB5,1.0,9915.5,3.1061305963856064e-05,-4.5077802884344802,12074.0,0.610352846022,0.610352846022
ABCB6,1.0,9915.5,6.6859874085904003e-05,-4.1748344456293101,8667.0,0.438125568699,0.438125568699
ABCB7,1.0,9915.5,7.4703062492586605e-05,-4.1266615936816784,8117.0,0.410322515418,0.410322515418
ABCB8,1.0,9915.5,0.00077870677508234086,-3.1086260467394817,1184.0,0.0598523910626,0.0598523910626
ABCB9,1.0,9915.5,6.0151220301880654e-05,-4.2207555576009916,9200.0,0.465069254878,0.465069254878
ABCC1,1.0,9915.5,0.00090081279294790229,-3.0453654547893212,989.0,0.0499949448994,0.0499949448994
ABCC10,1.0,9915.5,5.2357945286396895e-05,-4.2810174050603385,9846.0,0.497725204732,0.497725204732
ABCC11,1.0,9915.5,2.5492952774186884e-05,-4.5935798585571739,12845.0,0.649327671621,0.649327671621
ABCC12,1.0,9915.5,2.0212355452512265e-05,-4.6943830729062359,13662.0,0.690627843494,0.690627843494
ABCC2,1.0,9915.5,0.00086249507941692683,-3.0642433739221344,1050.0,0.0530785562633,0.0530785562633
ABCC3,1.0,9915.5,0.00082069877830939027,-3.0858162130661961,1118.0,0.0565160246689,0.0565160246689
ABCC4,1.0,9915.5,7.6116624039782117e-05,-4.1185204819904717,8025.0,0.405671822869,0.405671822869
ABCC5,1.0,9915.5,9.1327664001411948e-05,-4.0393976506874809,7154.0,0.361641896674,0.361641896674
ABCC6,1.0,9915.5,0.00082080826217503918,-3.0857582806448214,1116.0,0.056414922657,0.056414922657
ABCC8,1.0,9915.5,0.00039436390165497242,-3.4041028453270377,1682.0,0.0850267920332,0.0850267920332
ABCC9,1.0,9915.5,9.2487364348857058e-05,-4.0339175966491609,7072.0,0.357496714185,0.357496714185
ABCD1,1.0,9915.5,8.4712094966445608e-05,-4.0720545778371848,7495.0,0.378879789708,0.378879789708
ABCD2,1.0,9915.5,6.1837582391289651e-05,-4.2087474979811708,9069.0,0.458447073097,0.458447073097
ABCD3,1.0,9915.5,0.0014248377353521988,-2.8462345915528013,365.0,0.0184511171772,0.0184511171772
ABCD4,1.0,9915.5,3.2329048875772558e-05,-4.4904070721926432,11886.0,0.6008492569,0.6008492569
ABCE1,1.0,9915.5,0.0011067607462788337,-2.9559462524736317,716.0,0.036194520271,0.036194520271
ABCF1,1.0,9915.5,0.00019237207353701126,-3.7158579738213855,3418.0,0.172783338388,0.172783338388
ABCF2,1.0,9915.5,0.00016976759061044982,-3.7701452149311065,3966.0,0.200485289657,0.200485289657
ABCF3,1.0,9915.5,0.0001229941145702145,-3.9101156696242825,5610.0,0.283591143464,0.283591143464
ABCG1,1.0,9915.5,8.398731318853772e-05,-4.0757863118944986,7545.0,0.381407340006,0.381407340006
ABCG2,1.0,9915.5,0.00018566839659914079,-3.7312620130649954,3561.0,0.180012132241,0.180012132241
ABCG4,1.0,9915.5,7.7426966304510258e-05,-4.1111077566608092,7941.0,0.401425538368,0.401425538368
ABCG5,1.0,9915.5,8.7591022738835793e-05,-4.0575404026763646,7347.0,0.371398240825,0.371398240825
ABCG8,1.0,9915.5,6.1323837289228831e-05,-4.2123706773434924,9109.0,0.460469113335,0.460469113335
ABHD1,1.0,9915.5,1.2292601717286976e-05,-4.9103561893771399,15212.0,0.76898190274,0.76898190274
ABHD10,1.0,9915.5,7.4968164377699309e-05,-4.1251231228793221,8098.0,0.409362046305,0.409362046305
ABHD11,1.0,9915.5,1.2782083660207258e-05,-4.8933983442708406,15106.0,0.763623496108,0.763623496108
ABHD12,1.0,9915.5,3.2153900037474802e-05,-4.4927663427388378,11921.0,0.602618542109,0.602618542109
ABHD12B,1.0,9915.5,4.730375996624781e-06,-5.3251043377464473,17212.0,0.87008391467,0.87008391467
ABHD13,1.0,9915.5,2.8784532898464171e-05,-4.5408408136733405,12360.0,0.624810433728,0.624810433728
ABHD14A,1.0,9915.5,0.00012523111459477153,-3.9022877540490124,5518.0,0.278940450915,0.278940450915
