,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
A1BG,1.0,9916.0,7.0971370128555648e-05,-4.1489168104745451,10473.0,0.529420685472,0.529420685472
A1CF,1.0,9916.0,0.00016282938906777159,-3.7882672065841052,6336.0,0.320291173794,0.320291173794
A2M,1.0,9916.0,0.00053547867794772512,-3.2712578175193427,2145.0,0.108431907795,0.108431907795
A2ML1,1.0,9916.0,0.00026420153194834164,-3.5780646684974853,4110.0,0.207764634516,0.207764634516
A3GALT2,1.0,9916.0,2.2096598087033136e-06,-5.6556745835888105,18480.5,0.934207865737,0.934207865737
A4GALT,1.0,9916.0,0.00010037349776543581,-3.9983809415096649,8839.0,0.446820341725,0.446820341725
A4GNT,1.0,9916.0,4.4779702811921439e-05,-4.348918793016276,12387.0,0.626175310889,0.626175310889
AAAS,1.0,9916.0,0.00010804568359381465,-3.9663925784228709,8470.0,0.428167020524,0.428167020524
AACS,1.0,9916.0,5.3894438918874393e-05,-4.2684560450441529,11643.0,0.588565362451,0.588565362451
AADAC,1.0,9916.0,5.4572850863622559e-05,-4.2630233582564347,11597.0,0.586240016176,0.586240016176
AADACL2,1.0,9916.0,1.9731620447538461e-05,-4.7048372471083866,14988.0,0.757658477404,0.757658477404
AADACL3,1.0,9916.0,3.6119994169101948e-06,-5.4422523284672542,17867.0,0.903194823577,0.903194823577
AADACL4,1.0,9916.0,4.7907242413085655e-06,-5.3195988268301715,17501.0,0.884693155394,0.884693155394
AADAT,1.0,9916.0,2.7963379723048781e-05,-4.5534103398517418,13976.0,0.706500859367,0.706500859367
AAED1,1.0,9916.0,2.8687811709754076e-06,-5.5423025782309709,18177.0,0.918865635426,0.918865635426
AAGAB,1.0,9916.0,3.1175760108609605e-05,-4.506182949013799,13638.0,0.689414619351,0.689414619351
AAK1,1.0,9916.0,0.00042467930492880564,-3.3719389021226007,2610.0,0.131938125569,0.131938125569
AAMDC,1.0,9916.0,9.6130752995711532e-06,-5.0171376558300071,16539.0,0.836063087655,0.836063087655
AAMP,1.0,9916.0,0.00015105582182629276,-3.8208625319709073,6713.0,0.339348903043,0.339348903043
AANAT,1.0,9916.0,0.00032808870396275612,-3.48400872204033,3333.0,0.168486502881,0.168486502881
