,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
A1BG,1.0,9918.5,9.3793030444375836e-05,-4.0278294318981747,10310.0,0.521180871499,0.521180871499
A1CF,1.0,9918.5,0.00020020913926127988,-3.6985161014813328,7065.0,0.357142857143,0.357142857143
A2M,1.0,9918.5,0.00082114360932798388,-3.0855808827288431,2020.0,0.102113032049,0.102113032049
A2ML1,1.0,9918.5,3.3250988362590218e-05,-4.478195441066454,13988.0,0.707107471439,0.707107471439
A3GALT2,1.0,9918.5,2.0971915920951654e-06,-5.678361892096019,18702.5,0.945430189061,0.945430189061
A4GALT,1.0,9918.5,0.00010000089924292958,-3.9999960946551369,10081.0,0.509604691133,0.509604691133
A4GNT,1.0,9918.5,4.8451231092743968e-05,-4.3146951835256449,12761.0,0.64508138712,0.64508138712
AAAS,1.0,9918.5,0.0002814338341641151,-3.5506236925889816,5729.0,0.289606713174,0.289606713174
AACS,1.0,9918.5,8.8383068451995439e-05,-4.0536309248303359,10543.0,0.532959255889,0.532959255889
AADAC,1.0,9918.5,8.7303948078918379e-05,-4.058966116086892,10592.0,0.535436255181,0.535436255181
AADACL2,1.0,9918.5,2.1768907052242942e-05,-4.6621633749596088,15160.0,0.76635325043,0.76635325043
AADACL3,1.0,9918.5,7.7767206971614034e-06,-5.1092034985580312,17171.0,0.868011323425,0.868011323425
AADACL4,1.0,9918.5,9.122382650021405e-06,-5.0398917146748463,16961.0,0.857395612173,0.857395612173
AADAT,1.0,9918.5,4.0830463243170461e-05,-4.389015692748778,13346.0,0.674653725609,0.674653725609
AAED1,1.0,9918.5,2.8339328445294407e-06,-5.5476104454067849,18481.0,0.93423314124,0.93423314124
AAGAB,1.0,9918.5,2.5097430862882862e-05,-4.6003707334663577,14794.0,0.747851582246,0.747851582246
AAK1,1.0,9918.5,0.00086951240587360124,-3.060724217267925,1853.0,0.0936710140532,0.0936710140532
AAMDC,1.0,9918.5,2.1891491596382292e-05,-4.6597246463805098,15148.0,0.765746638358,0.765746638358
AAMP,1.0,9918.5,0.00026724019942322172,-3.5730982128337221,5931.0,0.299818016379,0.299818016379
AANAT,1.0,9918.5,0.00037641946171668107,-3.4243279306813834,4671.0,0.236123748863,0.236123748863
