	Gene	Chromosome	TxStart	TxEnd
4920	OR4F5	1	58953	59871
9119	SAMD11	1	914832	920104
5490	NOC2L	1	934774	919738
4540	KLHL17	1	936109	941162
10022	PLEKHN1	1	941943	950549
11097	HES4	1	975537	974411
3152	ISG15	1	988945	989986
4528	AGRN	1	995569	1031415
3491	C1orf159	1	1091392	1057127
15999	TTLL10	1	1149208	1173236
5570	TNFRSF18	1	1182012	1178811
5193	TNFRSF4	1	1189435	1186629
4604	SDF4	1	1207287	1192234
5128	B3GALT6	1	1207567	1210341
1539	UBE2J2	1	1243201	1229216
1887	SCNN1D	1	1257411	1267332
16015	ACAP3	1	1278563	1268866
3017	PUSL1	1	1283916	1286979
6506	INTS11	1	1299952	1286901
10723	CPTP	1	1300182	1304162
7572	DVL1	1	1324415	1310581
5396	MXRA8	1	1333838	1327994
2958	AURKAIP1	1	1350503	1349032
3479	MRPL20	1	1427928	1422563
9857	VWA1	1	1456175	1461412
6117	ATAD3A	1	1532821	1555331
4912	SSU72	1	1595529	1562320
12597	CDK11B	1	1686375	1666481
6141	SLC35E2A	1	1709593	1695842
14712	NADK	1	1742071	1714834
10465	GNB1	1	1854657	1748891
10275	CALML6	1	1878427	1880895
4097	TMEM52	1	1882873	1881191
3181	GABRD	1	1983004	1994352
5586	PRKCZ	1	2014070	2148996
6083	FAAP20	1	2158376	2148078
10605	SKI	1	2192295	2271618
6660	MORN1	1	2355155	2284857
5587	RER1	1	2355440	2367350
8792	PEX10	1	2376141	2368438
15125	PANK4	1	2490197	2472136
15095	HES5	1	2493846	2492347
3663	TNFRSF14	1	2528915	2521454
7884	FAM213B	1	2550410	2555068
9752	MMEL1	1	2596591	2554242
11587	ACTRT2	1	2961222	2962622
889	PRDM16	1	3008900	3378340
6147	ARHGEF16	1	3394313	3420832
14522	MEGF6	1	3471169	3429640
12613	TPRG1L	1	3564733	3569816
1332	WRAP73	1	3589794	3570496
14205	TP73	1	3592285	3673013
10923	CCDC27	1	3692118	3711366
1297	LRRC47	1	3736225	3719940
1365	CEP104	1	3796908	3751809
2309	DFFB	1	3797001	3825149
4029	C1orf174	1	3840006	3828854
3908	AJAP1	1	4625164	4753622
8895	NPHP4	1	5986797	5857138
2367	KCNAB2	1	6020645	6094789
859	CHD5	1	6174449	6096118
12705	RPL22	1	6193945	6179346
6401	RNF207	1	6199800	6215125
1394	ICMT	1	6230266	6217817
11154	GPR153	1	6255301	6243121
2565	ACOT7	1	6353233	6258598
2774	HES2	1	6414245	6409561
11290	TNFRSF25	1	6460433	6455759
16034	PLEKHG5	1	6486026	6461138
8255	NOL9	1	6548847	6519475
9414	TAS1R1	1	6549699	6574082
10070	ZBTB48	1	6574376	6583605
2804	KLHL21	1	6597195	6585050
14509	PHF13	1	6608010	6618322
12229	THAP3	1	6619190	6629911
13501	DNAJC11	1	6696139	6628496
12340	CAMTA1	1	6779649	7764029
5883	VAMP3	1	7765594	7775757
4626	PER3	1	7778979	7839503
8300	UTS2	1	7847361	7841940
5190	TNFRSF9	1	7935153	7914172
3615	PARK7	1	7956058	7979602
9097	ERRFI1	1	8020622	8006060
5557	RERE	1	8811790	8346722
1437	ENO1	1	8873046	8855328
4506	CA6	1	8940207	8969412
15855	SLC2A7	1	9020670	8997624
13334	SLC2A5	1	9063936	9031272
11158	GPR157	1	9123495	9098741
3891	H6PD	1	9229099	9262219
2161	SPSB1	1	9287249	9363854
7050	SLC25A33	1	9533823	9577099
12641	TMEM201	1	9583245	9599272
8226	PIK3CD	1	9646068	9723240
7695	CLSTN1	1	9818816	9723345
1282	CTNNBIP1	1	9904582	9842599
6842	LZIC	1	9937092	9924043
1440	NMNAT1	1	9937773	9977428
12754	RBP7	1	9991539	10010343
5149	UBE4B	1	10027308	10175560
11440	KIF1B	1	10205096	10375920
6317	PGD	1	10393350	10414467
14348	CENPS	1	10424424	10437130
9015	CORT	1	10444236	10446223
2308	DFFA	1	10466879	10454870
6439	PEX14	1	10469284	10625079
10545	C1orf127	1	10958524	10940798
9735	TARDBP	1	11006944	11019814
12551	MASP2	1	11041551	11039121
673	SRM	1	11054347	11048942
4207	EXOSC10	1	11094204	11060942
10133	ANGPTL7	1	11183663	11190303
3510	MTOR	1	11256830	11100857
7283	UBIAD1	1	11267544	11280606
4011	FBXO44	1	11648697	11657649
6752	FBXO2	1	11648772	11642715
275	FBXO6	1	11658446	11668673
8532	MAD2L2	1	11675459	11668802
14962	AGTRAP	1	11730477	11745088
2975	MTHFR	1	11797568	11784789
525	CLCN6	1	11800559	11837451
13628	NPPA	1	11842101	11840041
13626	NPPB	1	11853254	11851789
12592	KIAA2013	1	11920746	11914388
6075	PLOD1	1	11929011	11969860
8524	MFN2	1	11974634	12007833
11588	MIIP	1	12013788	12026366
1856	TNFRSF8	1	12057699	12138528
3697	TNFRSF1B	1	12161325	12203542
5902	VPS13D	1	12224378	12506362
13298	DHRS3	1	12611910	12574397
9258	AADACL4	1	12638831	12661362
15596	C1orf158	1	12740428	12755367
5980	PRAMEF1	1	12785811	12790489
2615	HNRNPCL1	1	12842579	12841323
475	PRAMEF2	1	12851206	12856030
470	PRAMEF4	1	12880291	12873310
479	PRAMEF8	1	12910715	13352739
471	PRAMEF5	1	13105124	13114363
3063	PRAMEF9	1	13166481	13394294
8513	LRRC38	1	13585548	13546775
5704	PDPN	1	13655557	13689756
15154	PRDM2	1	13776655	13896881
6318	KAZN	1	15173402	15189844
8275	TMEM51	1	15225534	15292178
13769	CTRC	1	15510243	15518459
8162	CELA2A	1	15528529	15543888
4075	CELA2B	1	15547901	15563200
3677	CASP9	1	15596096	15564102
8179	AGMAT	1	15656911	15644457
2592	DDI2	1	15689375	15732054
11340	RSC1A1	1	15731669	15733523
3893	SLC25A34	1	15808114	15813190
11111	TMEM82	1	15814222	15819781
1604	FBLIM1	1	15828459	15857159
1592	SPEN	1	15919664	16012256
3483	ZBTB17	1	16047820	16013671
5006	SRARP	1	16076036	16078486
3794	HSPB7	1	16089841	16085830
12737	CLCNKA	1	16093671	16105850
8543	CLCNKB	1	16115657	16128782
9601	FAM131C	1	16145401	16129570
6998	EPHA2	1	16227870	16196138
6150	ARHGEF19	1	16284410	16269904
15894	CPLANE2	1	16308752	16303501
8746	FBXO42	1	16424254	16321865
104	SZRD1	1	16439043	16468167
11703	SPATA21	1	16509225	16470443
14869	NECAP2	1	16512538	16531878
12464	CROCC	1	16993750	17044766
7123	MFAP2	1	17052441	17046306
2221	ATP13A2	1	17083573	17057758
9095	SDHB	1	17125952	17090558
9551	PADI2	1	17191236	17140558
15135	PADI1	1	17276935	17316654
9550	PADI3	1	17320898	17356031
9552	PADI4	1	17379997	17435801
8112	RCC2	1	17511526	17478584
6440	ARHGEF10L	1	17611635	17769675
6526	ACTL8	1	17827149	17898862
12666	IGSF21	1	18179545	18450282
13250	KLHDC7A	1	18553171	18555605
5332	PAX7	1	18702805	18807938
9415	TAS1R2	1	18931461	18911398
14704	ALDH4A1	1	18974378	18943231
5016	MRTO4	1	19323604	19331064
14207	AKR7L	1	19345741	19337783
14806	AKR7A3	1	19360586	19354362
4938	AKR7A2	1	19383921	19375768
4231	PQLC2	1	19384125	19404227
9244	MINOS1	1	19668799	19700480
1371	NBL1	1	19715031	19730251
8815	HTR6	1	19737085	19751361
5105	TMCO4	1	19871716	19754040
10581	RNF186	1	19887077	19885827
14168	OTUD3	1	19954216	19984741
2698	PLA2G2E	1	19995416	19992105
2695	PLA2G2A	1	20052215	20047239
9242	PLA2G5	1	20142143	20162959
2699	PLA2G2D	1	20191314	20183741
2700	PLA2G2F	1	20211124	20222178
5379	UBXN10	1	20257883	20265247
10319	CAMK2N1	1	20557578	20555242
5612	MUL1	1	20579960	20571248
3813	FAM43B	1	20624237	20626806
15731	CDA	1	20660836	20690702
12322	PINK1	1	20705253	20723309
3013	DDOST	1	20733157	20723989
11385	KIF17	1	20789579	20735814
11044	SH2D5	1	20804439	20791530
8066	HP1BP3	1	20852339	20814933
4885	EIF4G3	1	21183182	21013045
2471	ECE1	1	21351348	21291657
3193	NBPF3	1	21511936	21556698
777	ALPL	1	21581174	21650208
15760	RAP1GAP	1	21741105	21668020
12579	USP48	1	21854960	21750393
3833	LDLRAD2	1	21884063	21897020
12560	HSPG2	1	22009053	21894545
9089	CELA3B	1	22048723	22061151
11799	CELA3A	1	22073454	22084339
8277	CDC42	1	22124487	22164741
1723	WNT4	1	22214916	22191504
3369	ZBTB40	1	22523655	22600286
6992	EPHA8	1	22635309	22675393
11303	C1QA	1	22709405	22711405
11301	C1QC	1	22715452	22719908
11302	C1QB	1	22725045	22733433
14683	EPHB2	1	22782763	22987124
5366	KDM1A	1	23091251	23155490
15919	LUZP1	1	23240616	23162226
11755	HTR1D	1	23266528	23263694
11911	HNRNPR	1	23416090	23381582
2418	ZNF436	1	23440185	23431773
174	TCEA3	1	23496567	23452860
1160	ASAP3	1	23555977	23500361
2249	E2F2	1	23603019	23578227
8060	ID3	1	23631591	23629761
9820	MDS2	1	23699129	23712362
5666	RPL11	1	23763599	23768221
5875	ELOA	1	23815267	23831701
5994	PITHD1	1	23850193	23860026
14815	LYPLA2	1	23862951	23867333
12664	GALE	1	23872340	23867394
9407	HMGCL	1	23897255	23873673
906	FUCA1	1	23940079	23916879
1939	CNR2	1	23985123	23945765
4648	PNRC2	1	24031635	24035237
10145	SRSF10	1	24052123	24042176
12848	IL22RA1	1	24214917	24191566
11667	IFNLR1	1	24259044	24233173
15010	GRHL3	1	24391186	24436274
9064	STPG1	1	24473239	24428795
9500	NIPAL3	1	24487623	24544704
15169	RCAN3	1	24574692	24607734
12554	NCMAP	1	24627907	24681122
4516	SRRM1	1	24714899	24745067
391	CLIC4	1	24817153	24916064
6669	RUNX3	1	25001674	24972833
13348	SYF2	1	25304308	25294477
8402	RSRP1	1	25319291	25314046
1352	RHD	1	25344320	25402252
11878	TMEM50A	1	25410126	25434166
4007	RHCE	1	25492636	25434199
15032	MAN1C1	1	25628104	25795084
7594	MTFR1L	1	25830829	25843573
3199	AUNIP	1	25869991	25844642
6037	PAQR7	1	25881886	25872118
13840	STMN1	1	25903240	25910750
4882	PAFAH2	1	26008790	25971456
13230	EXTL1	1	26032412	26047074
14764	SLC30A2	1	26056746	26048655
3899	TRIM63	1	26078263	26061939
13386	PDIK1L	1	26122467	26136177
2806	FAM110D	1	26169666	26173260
1963	ZNF593	1	26180571	26181504
13917	CNKSR1	1	26188141	26200515
12062	CEP85	1	26244834	26289441
7723	SH3BGRL3	1	26290585	26292154
5380	UBXN11	1	26317265	26292916
11943	CD52	1	26328626	26331152
10112	ZNF683	1	26383408	26372267
4166	LIN28A	1	26421449	26440352
2536	DHDDS	1	26442943	26481935
3130	HMGN2	1	26483055	26486603
4177	RPS6KA1	1	26540390	26585662
15341	ARID1A	1	26706665	26792737
4042	PIGV	1	26798627	26809028
2040	ZDHHC18	1	26837342	26866350
6424	SFN	1	26873774	26875089
1315	GPATCH3	1	26911099	26901121
8142	NR0B2	1	26924602	26922120
6323	NUDC	1	26932365	26957029
11459	KDF1	1	26971039	26960202
1854	TRNP1	1	27004339	27011286
12514	FAM46B	1	27023469	27015654
9232	SLC9A1	1	27165543	27109448
10130	WDTC1	1	27245300	27318877
13231	TMEM222	1	27332863	27347032
8326	SYTL1	1	27352654	27364563
1154	MAP3K6	1	27377230	27366023
3684	FCN3	1	27385457	27379744
10264	CD164L2	1	27393935	27389807
4856	GPR3	1	27403293	27406457
6820	WASF2	1	27500811	27416267
7375	FGR	1	27634715	27622952
2447	IFI6	1	27682850	27676722
12041	FAM76A	1	27736631	27772256
13704	STX12	1	27783924	27834956
5633	PPP1R8	1	27841434	27862325
6831	THEMIS2	1	27890394	27897326
10497	RPA2	1	27925378	27902191
1587	SMPDL3B	1	27945645	27969804
11935	XKR8	1	27970645	27978746
12717	EYA3	1	28099257	27984960
9699	PTAFR	1	28187333	28160325
319	ATP5IF1	1	28246752	28248751
12142	SESN2	1	28270147	28293143
7576	MED18	1	28339690	28346617
8111	RCC1	1	28653183	28686118
13410	TRNAU1AP	1	28700220	28725666
2585	RAB42	1	28739327	28741702
11115	TAF12	1	28790201	28750228
14428	GMEB1	1	28815859	28862001
8412	YTHDF2	1	28883886	28916857
10516	OPRD1	1	28959269	29010821
9644	EPB41	1	29034218	29267574
5494	TMEM200B	1	29269320	29266560
575	SRSF4	1	29328977	29294980
5269	MECR	1	29378060	29340949
3055	PTPRU	1	29383643	29473927
1499	MATN1	1	30865980	30855088
8135	LAPTM5	1	30899760	30874408
13894	SDC3	1	31019511	31015074
913	PUM1	1	31207635	31074789
1619	NKAIN1	1	31330093	31321685
6846	SNRNP40	1	31438704	31401613
9100	ZCCHC17	1	31438934	31506873
7486	FABP3	1	31515016	31507192
12316	SERINC2	1	31555055	31576617
11626	TINAGL1	1	31711252	31722378
6429	HCRTR1	1	31753733	31761807
8093	PEF1	1	31779570	31764563
2162	COL16A1	1	31838649	31786940
7260	ADGRB2	1	31898729	31861811
7851	SPOCD1	1	31950673	31925117
4850	PTP4A2	1	32054087	32043161
309	KHDRBS1	1	32148559	32195543
15040	TMEM39B	1	32207621	32237558
7371	KPNA6	1	32242749	32307867
14921	TXLNA	1	32314437	32332978
6867	CCDC28B	1	32335326	32340079
10118	IQCC	1	32340364	32343381
5015	TMEM234	1	32357019	32350892
9368	EIF3I	1	32357118	32366296
14456	FAM167B	1	32381926	32383549
9692	LCK	1	32386011	32420856
1784	HDAC1	1	32426800	32468317
11658	MARCKSL1	1	32470916	32468533
4023	TSSK3	1	32496954	32499015
14183	BSDC1	1	32529120	32499870
13365	ZBTB8A	1	32599750	32735075
14499	ZBTB8OS	1	32785278	32756401
15361	RBBP4	1	32785916	32815345
15618	SYNC	1	32829966	32815070
13453	S100PBP	1	32952268	32993568
14675	YARS	1	32952726	32909932
2673	FNDC5	1	33005440	32996969
6674	HPCA	1	33021190	33029339
4096	TMEM54	1	33036046	33029288
2314	RNF19B	1	33098807	33071149
15097	AK2	1	33171564	33147675
3585	AZIN2	1	33215806	33255087
3515	TRIM62	1	33316360	33280096
10728	ZNF362	1	33391266	33435413
10683	PHC2	1	33484592	33458319
4853	ZSCAN20	1	33607338	33631086
10760	CSMD2	1	33844197	33906801
9259	HMGB4	1	33995168	33999484
14028	C1orf94	1	34312363	34353822
9301	GJB5	1	34889813	34893205
9302	GJB4	1	34895870	34897020
9299	GJB3	1	34915882	34921057
2193	GJA4	1	34927691	34930439
6742	SMIM12	1	34994438	34988216
13920	TMEM35B	1	35120013	35116228
13042	ZMYM6	1	35166343	35118484
13041	ZMYM1	1	35214084	35250547
9680	SFPQ	1	35327828	35318295
13043	ZMYM4	1	35403660	35556637
13569	KIAA0319L	1	35692097	35573235
11513	NCDN	1	35692485	35701471
1762	TFAP2E	1	35708063	35730018
973	PSMB2	1	35776236	35737832
3773	C1orf216	1	35853883	35848569
9642	CLSPN	1	35904644	35870910
4888	AGO4	1	35942920	35990281
4955	AGO1	1	36017902	36058992
13267	AGO3	1	36065864	36191155
9656	TEKT2	1	36218768	36222968
